UnderwrittenCoverID,PolicyID,TransactionMonth,IsVATRegistered,Citizenship,LegalType,Title,Language,Bank,AccountType,MaritalStatus,Gender,Country,Province,PostalCode,MainCrestaZone,SubCrestaZone,ItemType,mmcode,VehicleType,RegistrationYear,make,Model,Cylinders,cubiccapacity,kilowatts,bodytype,NumberOfDoors,VehicleIntroDate,CustomValueEstimate,AlarmImmobiliser,TrackingDevice,CapitalOutstanding,NewVehicle,WrittenOff,Rebuilt,Converted,CrossBorder,NumberOfVehiclesInFleet,SumInsured,TermFrequency,CalculatedPremiumPerTerm,ExcessSelected,CoverCategory,CoverType,CoverGroup,Section,Product,StatutoryClass,StatutoryRiskType,TotalPremium,TotalClaims,LossRatio
46222,4044,2014-10-01,False,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1982,Transvaal (all except Pretoria),Transvaal South,Mobility - Motor,4042080.0,Passenger Vehicle,2011,AUDI,A4 1.8T ATTRACTION (B8),4.0,1781.0,118.0,S/D,4.0,2008/08/01 12:00:00 AM,,Yes,No,208800,,,,,,,208800.0,Monthly,891.8912,Mobility - Metered Taxis - R2000,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,0.0,2294.09649122807,
82062,7174,2015-03-01,True,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,1625,Rand East,Rand East,Mobility - Motor,22089200.0,Passenger Vehicle,2006,FORD,TERRITORY 4.0i GHIA AWD A/T,6.0,3984.0,182.0,SUV,5.0,6/2005,,Yes,No,127300,More than 6 months,,,,,,0.01,Monthly,25.0,Mobility - Windscreen,Windscreen,Windscreen,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,21.929824561403,2040.47368421053,93.04560000000234
119591,8672,2015-04-01,False,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2066,Johannesburg,Johannesburg,Mobility - Motor,5037006.0,Passenger Vehicle,2014,BMW,316i A/T (F30),4.0,1598.0,100.0,S/D,4.0,2013/04/01 12:00:00 AM,408000.0,Yes,No,0,More than 6 months,,,,,,408000.0,Monthly,1383.8337,Mobility - Metered Taxis - R2000,Own damage,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,1213.88921052632,46492.211754386,38.300210061367814
50193,283,2014-10-01,False,  ,Close Corporation,Mr,English,Standard Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4093,Natal (Durban),Durban,Mobility - Motor,64082300.0,Medium Commercial,2009,VOLKSWAGEN,CRAFTER 50 HR 80 F/C P/V,5.0,2459.0,80.0,P/V,2.0,4/2007,,Yes,No,0,,,,,,,206900.0,Monthly,735.3199,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,645.017456140351,26516.8596491228,41.11029770852113
119582,8672,2015-04-01,False,  ,Close Corporation,Mr,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,2066,Johannesburg,Johannesburg,Mobility - Motor,5037006.0,Passenger Vehicle,2014,BMW,316i A/T (F30),4.0,1598.0,100.0,S/D,4.0,2013/04/01 12:00:00 AM,408000.0,Yes,No,0,More than 6 months,,,,,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Metered Taxis: Monthly,Commercial,IFRS Constant,74.561403508771,6140.35087719298,82.35294117647159
16821,839,2015-03-01,False,  ,Individual,Dr,English,Standard Bank,Savings account,Not specified,Not specified,South Africa,Mpumalanga,2410,Transvaal (all except Pretoria),Transvaal South East,Mobility - Motor,60058415.0,Passenger Vehicle,2008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,11/2007,,Yes,No,137800,,,,,,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,74.561403508771,4385.9649122807,58.82352941176543
149556,13098,2015-04-01,False,  ,Individual,Miss,English,,,Not specified,Not specified,South Africa,Gauteng,1739,Transvaal (all except Pretoria),Rand West,Mobility - Motor,60058419.0,Passenger Vehicle,2015,TOYOTA,QUANTUM 2.7 SESFIKILE 16s,4.0,2694.0,111.0,B/S,4.0,4/2012,282100.0,Yes,Yes,282100,More than 6 months,No,No,No,,,282100.0,Monthly,838.8031,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,735.792192982456,25438.5964912281,34.573072035618424
138374,12071,2015-05-01,False,  ,Individual,Miss,English,Capitec Bank,Current account,Not specified,Not specified,South Africa,KwaZulu-Natal,4310,Natal,North Coast,Mobility - Motor,60058415.0,Passenger Vehicle,2008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,11/2007,,Yes,Yes,135800,More than 6 months,,,,,,7000.0,Monthly,85.0,No excess,Income Protector,Income Protector,Income Protector,Optional Extended Covers,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,74.561403508771,6140.35087719298,82.35294117647159
130910,10390,2015-01-01,False,  ,Individual,Miss,English,First National Bank,Current account,Not specified,Not specified,South Africa,Gauteng,181,Transvaal (Pretoria),Pretoria,Mobility - Motor,60058415.0,Passenger Vehicle,2008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,11/2007,136000.0,Yes,Yes,0,More than 6 months,,,,,,136000.0,Monthly,606.6699,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,532.166578947368,16715.0,31.409338093088213
16825,839,2015-03-01,False,  ,Individual,Dr,English,Standard Bank,Savings account,Not specified,Not specified,South Africa,Mpumalanga,2410,Transvaal (all except Pretoria),Transvaal South East,Mobility - Motor,60058415.0,Passenger Vehicle,2008,TOYOTA,QUANTUM 2.7 SESFIKILE 14s,4.0,2694.0,111.0,B/S,4.0,11/2007,,Yes,No,137800,,,,,,,137800.0,Monthly,408.5286,Mobility - Taxi with value more than R100 000 - R5 000,Own Damage ,Own Damage,Comprehensive - Taxi,Motor Comprehensive,Mobility Commercial Cover: Monthly,Commercial,IFRS Constant,358.358421052632,74967.01754385965,209.1956352627451
